Train.Red Export for,100 % Session at 04/02/2026 15:02
-------------------------------------------------------------
Measurement Date,2026-02-04T15:02:03.526534
Type,free
Sport,endurance
Focus,perform
Number of Sensors,2
Samples,14099
Measurement Duration,11:49
Distance,0 m
MSS Avg,1.50
TSI Min,6.60
TSI Max,100.52
TSI Avg,68.23

Muscle states
Rest,07:48
Easy,05:24
Medi,04:02
Hard,02:24
Load,03:58



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1104
Mac Address,D3:21:A7:E6:9F:A2
Firmware Version,
Sensor Position,bicepsRight
Initial TSI,82.40
Initial HBDiff,28.16
Initial o2Hb,55.55
Initial HHb,28.75
Tsi Var,12.0
Filter Id,6
MSS Avg,0
TSI Min,6.60
TSI Max,100.52
TSI Avg,71.38


Sensor 2,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1258
Mac Address,D8:E1:2F:2F:36:F9
Firmware Version,
Sensor Position,bicepsRight
Initial TSI,65.91
Initial HBDiff,32.25
Initial o2Hb,36.73
Initial HHb,4.28
Tsi Var,12.0
Filter Id,6
MSS Avg,3
TSI Min,45.32
TSI Max,71.67
TSI Avg,65.09
,,,Train.Red FYER 1104,,,,,,,,,,Train.Red FYER 1258,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.06,0,,82.39,28.19,0,2,82.83,29.86,21.03,135.19,35.63,,65.90,32.24,0,2,65.63,-0.79,-0.06,40.16,31.72
0.24,0,,82.40,28.33,0,2,83.75,23.60,18.69,126.59,31.71,,65.90,32.24,0,2,65.66,-0.85,-0.07,40.09,31.67
0.27,0,,82.40,28.33,0,2,83.75,23.60,18.69,126.59,31.71,,65.90,32.23,0,2,65.15,-0.96,-0.03,40.02,31.52
0.37,0,,82.42,28.42,0,2,82.02,23.68,18.08,126.06,32.40,,65.89,32.22,0,2,64.96,-0.88,-0.02,40.11,31.59
0.48,0,,82.46,28.65,0,2,82.36,24.45,19.30,128.05,31.95,,65.88,32.21,0,2,65.56,-0.75,0.00,40.26,31.70
0.57,0,,82.46,28.65,0,2,82.36,24.45,19.30,128.05,31.95,,65.87,32.20,0,2,65.55,-0.75,0.02,40.28,31.68
0.66,0,,82.48,28.77,0,2,83.90,25.52,19.91,129.73,32.41,,65.86,32.18,0,2,65.55,-0.80,-0.03,40.18,31.68
0.78,0,,82.54,29.04,0,2,82.57,27.73,21.01,133.04,33.52,,65.84,32.16,0,2,65.50,-0.84,-0.06,40.11,31.67
0.87,0,,82.54,29.04,0,2,82.57,27.73,21.01,133.04,33.52,,65.83,32.15,0,2,65.55,-0.92,-0.05,40.04,31.58
0.99,0,,82.58,29.35,0,2,80.29,28.80,21.93,135.03,33.67,,65.82,32.13,0,2,65.96,-0.99,-0.10,39.92,31.56
1.08,0,,82.58,29.52,0,2,82.54,29.60,22.23,136.13,34.17,,65.80,32.11,0,2,66.31,-1.09,-0.15,39.77,31.51
1.17,0,,82.58,29.52,0,2,82.54,29.60,22.23,136.13,34.17,,65.80,32.08,0,2,65.64,-1.11,-0.16,39.74,31.50
1.26,0,,82.57,29.70,0,2,81.35,29.91,22.54,136.75,34.17,,65.79,32.06,0,2,64.96,-0.96,-0.16,39.89,31.65
1.38,0,,82.55,30.07,0,2,81.70,29.78,22.55,136.63,34.03,,65.78,32.04,0,2,66.29,-0.93,-0.17,39.91,31.69
1.47,0,,82.55,30.07,0,2,81.70,29.78,22.55,136.63,34.03,,65.77,32.01,0,2,65.65,-0.94,-0.14,39.93,31.65
1.56,0,,82.54,30.27,0,2,82.85,29.33,22.34,135.97,33.79,,65.76,31.99,0,2,65.65,-0.99,-0.11,39.91,31.57
1.74,0,,82.53,30.65,0,2,82.32,28.50,21.36,134.16,33.94,,65.75,31.97,0,2,65.56,-1.15,-0.14,39.72,31.44
1.77,0,,82.52,30.85,0,2,79.95,28.42,21.16,133.88,34.06,,65.75,31.95,0,2,65.92,-1.19,-0.17,39.65,31.43
1.86,0,,82.52,30.85,0,2,79.95,28.42,21.16,133.88,34.06,,65.74,31.92,0,2,65.87,-1.07,-0.18,39.76,31.56
1.98,0,,82.49,31.22,0,2,83.06,27.50,21.03,132.83,33.27,,65.73,31.90,0,2,65.11,-0.89,-0.13,39.99,31.69
2.07,0,,82.48,31.40,0,2,83.79,27.37,21.14,132.81,33.03,,65.73,31.88,0,2,65.46,-0.89,-0.07,40.05,31.63
2.16,0,,82.48,31.40,0,2,83.79,27.37,21.14,132.81,33.03,,65.72,31.85,0,2,65.89,-0.93,-0.14,39.94,31.66
2.28,0,,82.47,31.73,0,2,83.08,28.21,21.73,134.24,33.28,,65.71,31.83,0,2,65.37,-0.92,-0.20,39.89,31.73
2.37,0,,82.47,31.89,0,2,82.70,28.66,22.10,135.06,33.36,,65.71,31.82,0,2,66.19,-1.03,-0.21,39.77,31.63
2.49,0,,82.47,32.03,0,2,83.42,28.70,22.02,135.02,33.48,,65.70,31.80,0,2,65.78,-1.09,-0.25,39.67,31.61
2.58,0,,82.48,32.17,0,2,82.00,28.14,21.65,134.09,33.29,,65.70,31.78,0,2,65.83,-1.14,-0.24,39.63,31.55
2.67,0,,82.48,32.17,0,2,82.00,28.14,21.65,134.09,33.29,,65.70,31.76,0,2,65.84,-1.11,-0.25,39.65,31.59
2.76,0,,82.49,32.30,0,2,85.88,28.41,21.74,134.45,33.47,,65.69,31.75,0,2,65.88,-0.94,-0.24,39.83,31.75
2.88,0,,82.53,32.54,0,2,82.66,28.79,22.07,135.16,33.52,,65.69,31.73,0,2,65.49,-1.01,-0.21,39.79,31.65
2.97,0,,82.55,32.66,0,2,82.59,28.80,22.05,135.15,33.55,,65.69,31.72,0,2,65.96,-1.14,-0.31,39.56,31.62
3.06,0,,82.55,32.66,0,2,82.59,28.80,22.05,135.15,33.55,,65.70,31.71,0,2,66.48,-1.09,-0.41,39.51,31.77
3.24,0,,82.59,32.86,0,2,83.38,29.42,22.56,136.28,33.66,,65.70,31.70,0,2,65.66,-1.15,-0.43,39.43,31.73
3.27,0,,82.61,32.96,0,2,82.33,29.37,22.48,136.15,33.69,,65.70,31.69,0,2,65.86,-1.33,-0.46,39.22,31.58
3.36,0,,82.61,32.96,0,2,82.33,29.37,22.48,136.15,33.69,,65.71,31.68,0,2,66.07,-1.36,-0.54,39.11,31.63
3.48,0,,82.64,33.13,0,2,84.45,29.68,22.91,136.89,33.57,,65.71,31.67,0,2,65.64,-1.30,-0.55,39.16,31.70
3.57,0,,82.66,33.21,0,2,82.60,30.13,22.94,137.37,33.99,,65.72,31.66,0,2,66.46,-1.30,-0.55,39.16,31.70
3.66,0,,82.66,33.21,0,2,82.60,30.13,22.94,137.37,33.99,,65.73,31.65,0,2,65.72,-1.29,-0.62,39.10,31.78
3.78,0,,82.70,33.36,0,2,82.40,29.94,23.05,137.29,33.69,,65.74,31.65,0,2,65.65,-1.32,-0.60,39.09,31.73
3.87,0,,82.72,33.42,0,2,85.06,29.66,22.85,136.81,33.61,,65.74,31.64,0,2,65.34,-1.45,-0.57,38.99,31.57
3.99,0,,82.75,33.48,0,2,84.34,29.88,22.81,136.99,33.87,,65.75,31.64,0,2,65.74,-1.47,-0.63,38.91,31.61
4.08,0,,82.78,33.54,0,2,82.63,29.54,22.57,136.41,33.77,,65.75,31.64,0,2,65.97,-1.41,-0.63,38.97,31.67
4.17,0,,82.78,33.54,0,2,82.63,29.54,22.57,136.41,33.77,,65.75,31.63,0,2,65.68,-1.39,-0.59,39.03,31.65
4.26,0,,82.81,33.59,0,2,84.13,28.83,22.26,135.39,33.37,,65.76,31.63,0,2,66.71,-1.25,-0.57,39.19,31.77
4.38,0,,82.88,33.67,0,2,82.86,28.66,21.68,134.64,33.78,,65.77,31.63,0,2,66.11,-1.25,-0.57,39.19,31.77
4.47,0,,82.91,33.70,0,2,83.44,27.87,21.43,133.60,33.24,,65.78,31.63,0,2,66.39,-1.33,-0.62,39.06,31.74
4.56,0,,82.91,33.70,0,2,83.44,27.87,21.43,133.60,33.24,,65.79,31.63,0,2,66.01,-1.31,-0.66,39.04,31.80
4.74,0,,82.96,33.76,0,2,81.83,27.82,21.24,133.36,33.38,,65.80,31.63,0,2,66.06,-1.42,-0.64,38.95,31.67
4.77,0,,82.96,33.76,0,2,81.83,27.82,21.24,133.36,33.38,,65.81,31.63,0,2,65.83,-1.50,-0.67,38.84,31.62
4.86,0,,82.98,33.78,0,2,83.16,27.43,20.90,132.63,33.33,,65.82,31.63,0,2,66.35,-1.38,-0.73,38.90,31.80
4.98,0,,83.02,33.80,0,2,83.44,27.12,20.87,132.29,33.05,,65.84,31.63,0,2,66.38,-1.21,-0.74,39.06,31.98
5.07,0,,83.04,33.80,0,2,83.69,27.01,20.86,132.17,32.95,,65.85,31.64,0,2,66.50,-1.13,-0.76,39.12,32.08
5.16,0,,83.04,33.80,0,2,83.69,27.01,20.86,132.17,32.95,,65.87,31.64,0,2,66.30,-1.03,-0.90,39.08,32.32
5.28,0,,83.07,33.79,0,2,84.17,25.96,20.47,130.73,32.29,,65.89,31.65,0,2,66.25,-0.89,-1.03,39.09,32.59
