Train.Red Export for,Session at 04/02/2026 15:15
-------------------------------------------------------------
Measurement Date,2026-02-04T15:15:41.903409
Type,free
Sport,endurance
Focus,perform
Number of Sensors,2
Samples,53113
Measurement Duration,45:06
Distance,0 m
MSS Avg,7.50
TSI Min,7.49
TSI Max,96.72
TSI Avg,72.70

Muscle states
Rest,26:21
Easy,42:40
Medi,09:50
Hard,04:36
Load,06:44



Sensor 1,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1104
Mac Address,D3:21:A7:E6:9F:A2
Firmware Version,
Sensor Position,bicepsRight
Initial TSI,71.10
Initial HBDiff,21.42
Initial o2Hb,30.13
Initial HHb,8.90
Tsi Var,12.0
Filter Id,6
MSS Avg,0
TSI Min,7.49
TSI Max,96.72
TSI Avg,75.90


Sensor 2,Train.Red FYER
-------------------------------------------------------------
Sensor DataType,expertV13
Sensor ID,Train.Red FYER 1258
Mac Address,D8:E1:2F:2F:36:F9
Firmware Version,
Sensor Position,bicepsRight
Initial TSI,63.27
Initial HBDiff,20.74
Initial o2Hb,31.61
Initial HHb,10.97
Tsi Var,12.0
Filter Id,6
MSS Avg,15
TSI Min,41.75
TSI Max,75.93
TSI Avg,69.49
,,,Train.Red FYER 1104,,,,,,,,,,Train.Red FYER 1258,,,,,,,,,
Timestamp (seconds passed),Lap/Event,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered,,SmO2,HBDiff,Muscle state,Muscle trend,SmO2 unfiltered,O2HB unfiltered,HHb unfiltered,THb unfiltered,HBDiff unfiltered
0.06,0,,71.09,21.41,0,2,71.31,0.04,-0.15,38.92,21.42,,63.27,20.74,0,2,63.57,0.91,-0.55,42.94,22.10
0.18,0,,71.09,21.41,0,2,70.41,-0.22,-0.12,38.69,21.13,,63.27,20.75,0,2,63.86,1.00,-0.62,42.96,22.26
0.27,0,,71.09,21.41,0,2,70.98,-0.33,-0.10,38.60,21.00,,63.28,20.77,0,2,63.92,0.98,-0.62,42.94,22.24
0.36,0,,71.09,21.41,0,2,71.23,0.03,-0.22,38.84,21.48,,63.28,20.79,0,2,63.68,0.91,-0.61,42.88,22.16
0.46,0,,71.09,21.41,0,2,71.58,0.04,-0.27,38.80,21.54,,63.29,20.82,0,2,64.31,0.96,-0.66,42.88,22.26
0.57,0,,71.09,21.40,0,2,71.88,-0.20,-0.26,38.57,21.29,,63.31,20.85,0,2,64.25,0.98,-0.73,42.83,22.35
0.69,0,,71.10,21.40,0,2,70.56,-0.29,-0.23,38.51,21.17,,63.33,20.89,0,2,63.97,0.86,-0.77,42.67,22.27
0.75,0,,71.10,21.40,0,2,70.56,-0.29,-0.23,38.51,21.17,,63.35,20.93,0,2,64.34,0.92,-0.77,42.73,22.33
0.87,0,,71.10,21.40,0,2,72.54,-0.44,-0.23,38.36,21.02,,63.37,20.98,0,2,64.65,1.13,-0.80,42.91,22.57
0.96,0,,71.11,21.39,0,2,71.54,-0.12,-0.34,38.57,21.45,,63.40,21.03,0,2,64.11,1.22,-0.84,42.96,22.70
1.05,0,,71.12,21.39,0,2,71.07,-0.24,-0.24,38.55,21.23,,63.43,21.08,0,2,64.13,1.27,-0.87,42.98,22.78
1.20,0,,71.15,21.37,0,2,71.57,-0.46,-0.32,38.25,21.09,,63.46,21.14,0,2,64.03,1.23,-0.87,42.94,22.74
1.26,0,,71.15,21.37,0,2,71.57,-0.46,-0.32,38.25,21.09,,63.49,21.21,0,2,63.88,1.14,-0.83,42.89,22.61
1.35,0,,71.16,21.36,0,2,70.76,-0.55,-0.25,38.23,20.93,,63.52,21.27,0,2,63.80,1.18,-0.87,42.89,22.69
1.47,0,,71.16,21.35,0,2,69.89,-0.81,-0.05,38.17,20.47,,63.55,21.33,0,2,64.30,1.13,-0.93,42.78,22.70
1.56,0,,71.16,21.34,0,2,69.48,-0.39,-0.12,38.52,20.96,,63.58,21.40,0,2,63.98,1.08,-0.97,42.69,22.69
1.68,0,,71.15,21.32,0,2,69.80,-0.57,-0.04,38.42,20.70,,63.61,21.47,0,2,64.23,1.14,-1.06,42.66,22.84
1.77,0,,71.14,21.31,0,2,69.63,-0.75,0.06,38.34,20.42,,63.64,21.54,0,2,64.39,1.27,-1.08,42.77,22.99
1.86,0,,71.11,21.29,0,2,70.65,-0.10,-0.09,38.84,21.22,,63.67,21.61,0,2,64.59,1.40,-1.07,42.91,23.11
1.95,0,,71.09,21.27,0,2,70.18,-0.13,-0.03,38.87,21.13,,63.70,21.68,0,2,65.01,1.44,-1.09,42.93,23.17
2.07,0,,71.06,21.25,0,2,70.36,-0.45,0.07,38.65,20.71,,63.74,21.75,0,2,64.29,1.47,-1.14,42.91,23.25
2.19,0,,70.99,21.21,0,2,69.32,-0.67,0.24,38.60,20.32,,63.78,21.82,0,2,64.54,1.48,-1.18,42.88,23.30
2.25,0,,70.99,21.21,0,2,69.32,-0.67,0.24,38.60,20.32,,63.81,21.90,0,2,64.11,1.48,-1.21,42.85,23.33
2.37,0,,70.94,21.18,0,2,68.74,-0.80,0.34,38.57,20.09,,63.85,21.97,0,2,64.50,1.47,-1.25,42.80,23.36
2.46,0,,70.89,21.16,0,2,69.97,-0.28,0.34,39.09,20.61,,63.88,22.05,0,2,64.33,1.38,-1.26,42.70,23.28
2.55,0,,70.83,21.13,0,2,69.33,-0.35,0.38,39.06,20.50,,63.92,22.12,0,2,64.54,1.41,-1.30,42.69,23.35
